Date,Open,High,Low,Close,Volume
1/2/1990 16:00:00,353.4,359.69,351.98,359.69,25323438
1/3/1990 16:00:00,359.69,360.59,357.89,358.76,30051562
1/4/1990 16:00:00,358.76,358.76,352.89,355.67,27656250
1/5/1990 16:00:00,355.67,355.67,351.35,352.2,24770312
1/8/1990 16:00:00,352.2,354.24,350.54,353.79,21892188
1/9/1990 16:00:00,353.83,354.17,349.61,349.62,24251562
1/10/1990 16:00:00,349.62,349.62,344.32,347.31,27498438
1/11/1990 16:00:00,347.31,350.14,347.31,348.53,24123438
1/12/1990 16:00:00,348.53,348.53,339.49,339.93,28731250
1/15/1990 16:00:00,339.93,339.94,336.57,337,21967188
1/16/1990 16:00:00,337,340.75,333.37,340.75,29073438
1/17/1990 16:00:00,340.77,342.01,336.26,337.4,26635938
1/18/1990 16:00:00,337.4,338.38,333.98,338.19,27904688
1/19/1990 16:00:00,338.19,340.48,338.19,339.15,28998438
1/22/1990 16:00:00,339.14,339.96,330.28,330.38,23184376
1/23/1990 16:00:00,330.38,332.76,328.67,331.61,28015624
1/24/1990 16:00:00,331.61,331.71,324.17,330.26,32473438
1/25/1990 16:00:00,330.26,332.33,325.33,326.08,26917188
1/26/1990 16:00:00,326.09,328.58,321.44,325.8,30967188
1/29/1990 16:00:00,325.8,327.31,321.79,325.2,23557812
1/30/1990 16:00:00,325.2,325.73,319.83,322.98,29067188
1/31/1990 16:00:00,322.98,329.08,322.98,329.08,29634376
2/1/1990 16:00:00,329.08,329.86,327.76,328.79,24153124
2/2/1990 16:00:00,328.79,332.1,328.09,330.92,25687500
2/5/1990 16:00:00,330.92,332.16,330.45,331.85,20460938
2/6/1990 16:00:00,331.85,331.86,328.2,329.66,20948438
2/7/1990 16:00:00,329.66,333.76,326.55,333.75,29173438
2/8/1990 16:00:00,333.75,336.09,332,332.96,27537500
2/9/1990 16:00:00,333.02,334.6,332.41,333.62,22954688
2/12/1990 16:00:00,333.62,333.62,329.97,330.08,18498438
2/13/1990 16:00:00,330.08,331.61,327.92,331.02,22576562
2/14/1990 16:00:00,331.02,333.2,330.64,332.01,21645312
2/15/1990 16:00:00,332.01,335.21,331.61,334.89,27284376
2/16/1990 16:00:00,334.89,335.64,332.42,332.72,26068750
2/20/1990 16:00:00,332.72,332.72,326.26,327.99,23015624
2/21/1990 16:00:00,327.91,328.17,324.47,327.67,24881250
2/22/1990 16:00:00,327.67,330.98,325.7,325.7,28800000
2/23/1990 16:00:00,325.7,326.15,322.1,324.15,23201562
2/26/1990 16:00:00,324.16,328.67,323.98,328.67,23265624
2/27/1990 16:00:00,328.68,331.94,328.47,330.26,23842188
2/28/1990 16:00:00,330.26,333.48,330.16,331.89,28812500
3/1/1990 16:00:00,331.89,334.4,331.08,332.74,24676562
3/2/1990 16:00:00,332.74,335.54,332.72,335.54,25676562
3/5/1990 16:00:00,335.54,336.38,333.49,333.74,21892188
3/6/1990 16:00:00,333.74,337.93,333.57,337.93,22443750
3/7/1990 16:00:00,337.93,338.84,336.33,336.95,25559376
3/8/1990 16:00:00,336.95,340.66,336.95,340.27,26703124
3/9/1990 16:00:00,340.12,340.27,336.84,337.93,23501562
3/12/1990 16:00:00,337.93,339.08,336.14,338.67,17935938
3/13/1990 16:00:00,338.67,338.67,335.36,336,22725000
3/14/1990 16:00:00,336,337.63,334.93,336.87,22665624
3/15/1990 16:00:00,336.87,338.91,336.87,338.07,22564062
3/16/1990 16:00:00,338.07,341.91,338.07,341.91,34768752
3/19/1990 16:00:00,341.91,343.76,339.12,343.53,22234376
3/20/1990 16:00:00,343.53,344.49,340.87,341.57,27706250
3/21/1990 16:00:00,341.57,342.34,339.56,339.74,20467188
3/22/1990 16:00:00,339.74,339.77,333.62,335.69,27489062
3/23/1990 16:00:00,335.69,337.58,335.69,337.22,20635938
3/26/1990 16:00:00,337.22,339.74,337.22,337.63,18142188
3/27/1990 16:00:00,337.63,341.5,337.03,341.5,20564062
3/28/1990 16:00:00,341.5,342.58,340.6,342,22234376
3/29/1990 16:00:00,342,342.07,339.77,340.79,20654688
3/30/1990 16:00:00,340.79,341.41,338.21,339.94,21771876
4/2/1990 16:00:00,339.94,339.94,336.33,338.7,19431250
4/3/1990 16:00:00,338.7,343.76,338.7,343.64,24110938
4/4/1990 16:00:00,343.64,344.12,340.4,341.09,24926562
4/5/1990 16:00:00,341.09,342.85,340.63,340.73,22526562
4/6/1990 16:00:00,340.73,341.73,338.94,340.08,21482812
4/9/1990 16:00:00,340.08,341.83,339.88,341.37,17964062
4/10/1990 16:00:00,341.37,342.41,340.62,342.07,21253124
4/11/1990 16:00:00,342.07,343,341.26,341.92,22043750
4/12/1990 16:00:00,341.92,344.79,341.91,344.34,22260938
4/16/1990 16:00:00,344.34,347.3,344.1,344.74,22314062
4/17/1990 16:00:00,344.74,345.19,342.06,344.68,19998438
4/18/1990 16:00:00,344.68,345.33,340.11,340.72,22989062
4/19/1990 16:00:00,340.72,340.72,337.59,338.09,23895312
4/20/1990 16:00:00,338.09,338.52,333.41,335.12,27228124
4/23/1990 16:00:00,335.12,335.12,330.09,331.05,21273438
4/24/1990 16:00:00,331.05,332.97,329.71,330.36,21462500
4/25/1990 16:00:00,330.36,332.74,330.36,332.03,20856250
4/26/1990 16:00:00,332.03,333.76,330.67,332.92,22082812
4/27/1990 16:00:00,332.92,333.57,328.71,329.11,20410938
4/30/1990 16:00:00,329.11,331.31,327.76,330.8,19179688
5/1/1990 16:00:00,330.8,332.83,330.8,332.25,23284376
5/2/1990 16:00:00,332.25,334.48,332.15,334.48,22126562
5/3/1990 16:00:00,334.48,337.02,334.47,335.57,22743750
5/4/1990 16:00:00,335.58,338.46,335.17,338.39,21960938
5/7/1990 16:00:00,338.39,341.07,338.11,340.53,20743750
5/8/1990 16:00:00,340.53,342.03,340.17,342.01,22535938
5/9/1990 16:00:00,342.01,343.08,340.9,342.86,23784376
5/10/1990 16:00:00,342.87,344.98,342.77,343.82,24759376
5/11/1990 16:00:00,343.82,352.31,343.82,352,36568752
5/14/1990 16:00:00,352,358.41,351.95,354.75,35220312
5/15/1990 16:00:00,354.75,355.09,352.84,354.28,25895312
5/16/1990 16:00:00,354.27,354.68,351.95,354,24970312
5/17/1990 16:00:00,354,356.92,354,354.47,25745312
5/18/1990 16:00:00,354.47,354.64,352.52,354.64,25393750
5/21/1990 16:00:00,354.64,359.07,353.78,358,25981250
5/22/1990 16:00:00,358,360.5,356.09,358.43,31773438
5/23/1990 16:00:00,358.43,359.29,356.99,359.29,26926562
5/24/1990 16:00:00,359.29,359.56,357.87,358.41,24240624
5/25/1990 16:00:00,358.41,358.41,354.32,354.58,18789062
5/29/1990 16:00:00,354.58,360.65,354.55,360.65,21470312
5/30/1990 16:00:00,360.65,362.26,360,360.86,31178124
5/31/1990 16:00:00,360.86,361.84,360.23,361.23,25889062
6/1/1990 16:00:00,361.26,363.52,361.21,363.16,29353124
